created_at,model,input_tokens,output_tokens,cached_tokens,total_tokens,ttft,total_duration_s,tps,request_energy_j,request_energy_kwh,attribution_method,gpu_type,gpu_count,server_host,server_status,request_id
2026-05-12 01:35:56.2187,zai-org/GLM-5.1-FP8,77107,1130,2048,78237,22.624933004379272,53.81306600570679,21.00,7233.030000,0.002009175,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,e141d3e4-8c3f-492f-adfd-f750ba4438c8
2026-05-12 00:52:26.942517,zai-org/GLM-5.1-FP8,24820,217,13056,25037,3.7161996364593506,14.672136545181274,14.79,1450.540000,0.000402928,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,9bc17886-ac38-45b8-babb-bbf6ca9a07ec
2026-05-11 22:00:09.916269,zai-org/GLM-5.1-FP8,45667,30,45248,45697,1.3703112602233887,1.5653913021087646,19.16,237.288371,0.000065913,counter_prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,4c174894-0442-4c45-8ef4-cf18f11f0233
2026-05-11 20:09:11.770357,zai-org/GLM-5.1-FP8,55459,1738,55168,57197,0.4486384391784668,11.3986234664917,152.47,1870.470000,0.000519575,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,d0b9e1b4-38c6-47a3-a595-59f43f8bd52e
2026-05-11 14:58:11.827581,zai-org/GLM-5.1-FP8,126640,330,126208,126970,0.5997884273529053,4.399516820907593,75.01,100.100000,0.000027806,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,a2a0187a-025d-401f-85f5-44ca43137dbf
2026-05-11 14:56:22.092879,zai-org/GLM-5.1-FP8,17317,79,16832,17396,1.3721439838409424,6.125532388687134,12.90,1810.550000,0.000502931,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,bab651c6-01f3-45d5-9e24-2a30fcec4943
2026-05-11 14:29:29.082926,zai-org/GLM-5.1-FP8,97086,118,96896,97204,0.7196149826049805,1.9731411933898926,59.80,536.738676,0.000149094,prorated_multi_gpu_8,B200,8,100.91.121.110,active,8439585b-3060-469d-9bae-db37b27658a1
2026-05-11 14:21:44.085717,zai-org/GLM-5.1-FP8,37157,107,36928,37264,0.505927324295044,1.3741343021392822,77.87,339.566648,0.000094324,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,91c161ae-ef69-494c-a365-162cc144f10a
2026-05-11 13:18:35.466228,zai-org/GLM-5.1-FP8,7551,799,7424,8350,1.0569443702697754,7.706960678100586,103.67,1671.781122,0.000464384,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,229f8f28-a90c-4132-8ccf-51ba8c6ec2e2
2026-05-11 09:57:07.592407,zai-org/GLM-5.1-FP8,17051,51,16832,17102,0.9206252098083496,1.279604434967041,39.86,289.634551,0.000080454,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,fdde1e5d-b63c-44f6-84b4-a2f13cc1f897
2026-05-11 08:57:05.391971,zai-org/GLM-5.1-FP8,15636,95,15552,15731,0.25718188285827637,5.515868663787842,17.22,911.540000,0.000253206,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,16368792-021d-4325-bacd-0a4eeba1af20
2026-05-11 03:43:06.997165,zai-org/GLM-5.1-FP8,138757,39,138624,138796,0.9833755493164062,0.989372730255127,39.42,133.964038,0.000037212,counter_prorated_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,aaf5dfc2-1bbe-4487-aa44-e81cc9304ce0
2026-05-11 02:11:08.541668,zai-org/GLM-5.1-FP8,157583,93,157120,157676,6.536005258560181,7.523325204849243,12.36,385.070000,0.000106964,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,eaef5e55-6bb6-414b-b54d-94e0620fde94
2026-05-11 01:31:32.860623,zai-org/GLM-5.1-FP8,53438,348,52992,53786,13.840293645858765,17.38075613975525,20.02,1322.090000,0.000367247,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,2a3c0380-ee08-4877-8a56-ac6699e75083
2026-05-11 00:11:41.406491,zai-org/GLM-5.1-FP8,24652,1049,0,25701,7.865501642227173,33.306357860565186,31.50,9066.470000,0.002518464,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,5ab63d32-0558-4b6f-b06b-c7cef3f9d030
2026-05-10 22:54:53.77773,zai-org/GLM-5.1-FP8,22731,1241,2304,23972,5.685352802276611,17.62903380393982,70.40,2496.760188,0.000693544,prorated_token_pool_weighted_multi_gpu_8,H200,8,100.96.162.67,active,deac7a88-e49f-4128-9db0-1966933eb803
2026-05-10 21:52:45.977103,zai-org/GLM-5.1-FP8,60218,165,52288,60383,1.1446905136108398,2.7738699913024902,59.48,412.580000,0.000114606,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.117.156.46,active,eb0fd2fe-1918-4890-83e2-501624f75851
2026-05-10 21:38:17.967176,zai-org/GLM-5.1-FP8,106363,918,105984,107281,4.758366823196411,20.38650345802307,45.03,3719.520000,0.001033200,counter_exact_token_pool_weighted_multi_gpu_8,H200,8,100.98.131.43,active,56dd5996-d507-4d15-946f-d05fde61aaf6
2026-05-10 19:12:43.060808,zai-org/GLM-5.1-FP8,143890,244,576,144134,20.835658073425293,23.965385675430298,10.18,10838.030000,0.003010564,counter_exact_token_pool_weighted_multi_gpu_8,B200,8,100.91.121.110,active,b537bd32-504c-4a03-987d-26d318376e70
2026-05-10 18:25:03.455666,zai-org/GLM-5.1-FP8,69243,23,69120,69266,2.675199031829834,4.320977449417114,5.32,986.778250,0.000274105,prorated_token_pool_weighted_multi_gpu_8,B200,8,100.88.101.77,active,6dd4c752-c20a-4e9b-9213-7609cf270e5c
